stock,open,high,low,close,timestamp
株K,805.48,886.64,766.22,775.10,12:00:38.000
株P,348.73,432.66,304.82,318.58,12:00:38.500
株C,350.99,405.07,345.42,358.77,12:00:39.000
株P,786.87,874.28,745.69,751.75,12:00:39.500
株F,328.51,385.72,304.72,315.82,12:00:40.000
株I,769.05,846.07,748.08,752.96,12:00:40.500
株V,513.33,566.70,469.68,483.51,12:00:41.000
株Q,888.78,969.02,844.96,846.07,12:00:41.500
株V,886.16,967.97,880.62,891.77,12:00:42.000
株G,714.67,785.29,695.09,698.98,12:00:42.500
株L,735.91,804.22,729.33,736.27,12:00:43.000
株C,562.97,639.16,553.82,566.07,12:00:43.500
株Q,912.31,962.96,902.79,912.57,12:00:44.000
株K,785.66,856.17,752.68,765.11,12:00:44.500
株F,848.08,898.20,833.05,848.23,12:00:45.000
株I,531.84,592.48,486.37,498.06,12:00:45.500
株K,347.42,402.10,335.92,337.61,12:00:46.000
株I,938.73,999.89,890.19,893.94,12:00:46.500
株V,824.40,913.60,800.31,815.25,12:00:47.000
株T,490.82,583.37,483.08,491.22,12:00:47.500
株D,949.62,1005.14,917.58,922.48,12:00:48.000
株J,721.86,821.45,673.97,676.01,12:00:48.500
株X,316.76,400.05,280.19,295.17,12:00:49.000
株N,741.05,796.97,722.27,726.32,12:00:49.500
株J,364.42,427.02,320.74,332.47,12:00:50.000
株T,435.13,503.07,421.54,434.44,12:00:50.500
株K,457.35,553.19,440.66,446.55,12:00:51.000
株C,853.02,947.10,831.78,837.69,12:00:51.500
株U,498.34,555.95,466.03,472.71,12:00:52.000
株F,458.18,522.64,448.15,460.03,12:00:52.500
株S,942.60,1029.49,909.37,921.84,12:00:53.000
株J,779.98,863.35,742.26,749.97,12:00:53.500
株E,568.16,645.39,522.09,527.70,12:00:54.000
株I,889.10,973.83,868.28,886.06,12:00:54.500
株X,617.35,675.52,592.62,597.41,12:00:55.000
株A,828.27,879.33,798.83,803.96,12:00:55.500
株L,892.59,989.95,850.73,851.98,12:00:56.000
株Y,532.62,584.25,528.12,543.59,12:00:56.500
株O,979.73,1045.12,958.40,972.98,12:00:57.000
株J,780.26,854.25,765.14,784.06,12:00:57.500
株K,791.84,888.04,744.25,757.24,12:00:58.000
株V,832.52,921.13,803.22,813.62,12:00:58.500
株J,928.95,984.34,888.07,898.40,12:00:59.000
株K,495.30,584.07,486.94,498.75,12:00:59.500
株Z,614.55,688.02,579.07,581.50,12:01:00.000
株G,964.34,1025.78,924.87,931.50,12:01:00.500
株Y,793.88,855.05,771.50,791.29,12:01:01.000
株X,584.95,673.15,573.44,580.31,12:01:01.500
株I,764.43,838.76,716.42,724.84,12:01:02.000
株R,786.09,884.85,744.43,753.18,12:01:02.500
株B,903.71,961.88,860.26,866.08,12:01:03.000
株N,810.31,886.07,782.17,795.19,12:01:03.500
株M,562.78,631.22,542.32,545.80,12:01:04.000
株P,658.55,755.09,632.26,637.77,12:01:04.500
株U,540.74,625.02,498.05,503.35,12:01:05.000
株J,727.71,817.70,710.40,729.20,12:01:05.500
株E,810.58,902.64,786.59,799.32,12:01:06.000
株Z,911.98,999.99,908.31,927.99,12:01:06.500
株M,626.85,689.76,580.60,589.16,12:01:07.000
株E,450.31,524.20,447.88,466.92,12:01:07.500
株J,375.95,455.58,355.23,373.65,12:01:08.000
株N,996.10,1060.49,964.98,975.21,12:01:08.500
株I,822.40,906.21,780.78,798.45,12:01:09.000
株Q,891.28,982.45,870.06,880.96,12:01:09.500
株U,592.35,678.48,545.10,547.16,12:01:10.000
株O,344.79,443.80,318.75,331.92,12:01:10.500
株N,320.84,401.85,275.38,294.51,12:01:11.000
株N,441.41,530.80,434.29,448.24,12:01:11.500
株L,439.40,522.38,412.27,421.67,12:01:12.000
株V,433.37,524.87,429.29,438.37,12:01:12.500
株S,820.45,872.45,782.95,790.22,12:01:13.000
株C,951.22,1021.99,907.99,916.59,12:01:13.500
株S,664.80,728.68,616.24,617.98,12:01:14.000
株K,665.07,726.62,645.07,660.77,12:01:14.500
株M,494.03,552.52,458.69,461.95,12:01:15.000
株U,864.07,953.70,831.22,833.57,12:01:15.500
株Y,580.66,650.04,542.39,556.05,12:01:16.000
株D,582.80,637.52,537.33,545.15,12:01:16.500
株F,707.28,804.32,670.80,686.11,12:01:17.000
株G,770.16,863.91,733.73,743.84,12:01:17.500
株H,912.97,977.74,888.85,890.51,12:01:18.000
株E,547.26,638.86,505.49,524.32,12:01:18.500
株V,989.97,1070.56,952.77,971.22,12:01:19.000
株J,347.98,424.17,332.89,346.49,12:01:19.500
株X,747.90,824.95,738.75,745.51,12:01:20.000
株U,910.55,968.51,877.89,892.06,12:01:20.500
株C,423.78,521.76,394.00,408.24,12:01:21.000
株E,863.95,963.61,841.16,846.73,12:01:21.500
株L,692.70,762.84,684.30,687.96,12:01:22.000
株F,453.61,529.82,409.98,427.94,12:01:22.500
株B,794.69,849.03,769.13,788.81,12:01:23.000
株L,335.96,419.85,298.37,304.95,12:01:23.500
株P,962.12,1059.31,927.26,936.08,12:01:24.000
株O,576.15,644.43,553.62,572.24,12:01:24.500
株P,483.33,549.06,455.99,473.87,12:01:25.000
株L,314.08,368.65,310.37,328.59,12:01:25.500
株E,612.28,706.98,587.84,602.53,12:01:26.000
株S,557.43,617.30,522.98,542.75,12:01:26.500
株H,435.23,492.50,399.84,403.94,12:01:27.000
株L,910.42,964.73,895.61,910.50,12:01:27.500
株N,440.85,495.07,420.35,427.84,12:01:28.000
株L,848.67,925.32,825.41,834.46,12:01:28.500
株J,517.47,594.76,507.28,511.17,12:01:29.000
株S,950.75,1009.25,933.43,940.83,12:01:29.500
株V,765.44,836.70,726.77,739.98,12:01:30.000
株G,662.42,762.22,624.29,635.53,12:01:30.500
株J,313.18,407.13,285.36,297.92,12:01:31.000
株C,936.73,1001.05,904.89,910.29,12:01:31.500
株C,606.68,662.99,572.14,582.32,12:01:32.000
株Y,966.42,1028.66,936.46,948.68,12:01:32.500
株D,519.00,595.28,484.73,503.70,12:01:33.000
株Y,477.61,554.69,461.68,476.83,12:01:33.500
株A,959.43,1023.19,942.44,947.81,12:01:34.000
株C,440.29,537.63,412.65,418.91,12:01:34.500
株R,761.95,825.13,740.43,750.60,12:01:35.000
株A,485.61,558.11,439.07,444.18,12:01:35.500
株T,619.58,696.01,606.82,626.41,12:01:36.000
株Z,760.54,828.88,742.92,755.26,12:01:36.500
株H,362.57,454.40,327.25,343.17,12:01:37.000
株S,352.95,420.77,306.21,324.47,12:01:37.500
株J,774.36,836.21,764.18,767.97,12:01:38.000
株B,835.85,928.47,818.18,832.38,12:01:38.500
株P,995.49,1053.16,959.18,973.71,12:01:39.000
株H,451.07,532.14,402.31,416.46,12:01:39.500
株I,806.24,865.71,777.82,783.15,12:01:40.000
株Z,438.68,529.15,412.58,431.83,12:01:40.500
株W,891.94,961.33,881.97,896.65,12:01:41.000
株K,982.62,1033.48,973.74,977.31,12:01:41.500
株C,541.88,616.48,505.40,523.13,12:01:42.000
株X,588.38,665.65,570.73,574.02,12:01:42.500
株Q,829.78,924.68,807.88,827.83,12:01:43.000
株I,882.12,978.93,870.35,872.64,12:01:43.500
株H,904.14,960.13,877.95,890.14,12:01:44.000
株Q,722.61,806.35,713.07,721.52,12:01:44.500
株H,356.03,437.70,339.57,342.51,12:01:45.000
株U,317.33,396.68,289.19,306.57,12:01:45.500
株L,342.44,442.13,329.22,337.94,12:01:46.000
株V,488.52,576.74,443.34,456.21,12:01:46.500
株S,306.61,368.98,302.37,320.07,12:01:47.000
株Y,394.64,456.66,377.98,388.58,12:01:47.500
株G,691.07,750.20,651.07,653.99,12:01:48.000
株N,453.03,520.34,445.21,447.51,12:01:48.500
株E,853.97,948.91,837.69,840.93,12:01:49.000
株J,381.27,478.07,347.08,356.35,12:01:49.500
株K,391.02,490.56,351.02,368.87,12:01:50.000
株V,833.15,924.89,813.89,823.73,12:01:50.500
株R,331.10,384.00,306.27,322.10,12:01:51.000
株U,425.09,490.74,394.24,395.27,12:01:51.500
株X,533.92,600.61,529.99,540.18,12:01:52.000
株B,915.88,1004.94,913.19,916.16,12:01:52.500
株R,410.76,467.08,408.13,426.47,12:01:53.000
株Y,890.22,967.36,842.07,848.94,12:01:53.500
株V,311.26,376.31,288.60,308.16,12:01:54.000
株I,455.49,507.79,453.56,465.96,12:01:54.500
株J,651.46,717.45,613.76,630.48,12:01:55.000
株M,429.89,515.30,387.23,406.85,12:01:55.500
株E,662.59,719.75,650.95,668.89,12:01:56.000
株H,508.05,569.80,503.48,511.40,12:01:56.500
株G,652.28,742.50,642.75,657.02,12:01:57.000
株M,445.19,524.08,431.10,443.51,12:01:57.500
株O,587.04,680.48,542.18,550.73,12:01:58.000
株O,993.92,1049.95,948.61,967.49,12:01:58.500
株X,760.35,819.50,713.56,727.82,12:01:59.000
株U,622.99,677.06,584.69,590.79,12:01:59.500
株U,756.37,811.12,723.65,727.16,12:02:00.000
株C,745.15,840.59,727.85,745.82,12:02:00.500
株O,578.40,676.59,567.42,585.80,12:02:01.000
株F,812.65,868.81,784.89,799.39,12:02:01.500
株R,329.71,426.27,301.14,320.60,12:02:02.000
株S,322.02,393.83,277.72,287.38,12:02:02.500
株I,982.70,1081.94,959.59,978.12,12:02:03.000
株G,380.51,467.08,363.02,364.12,12:02:03.500
株M,821.18,886.55,817.95,821.13,12:02:04.000
株P,821.08,898.67,792.28,796.63,12:02:04.500
株V,448.66,543.36,414.98,422.73,12:02:05.000
株N,424.21,481.90,421.72,432.24,12:02:05.500
株S,606.72,699.05,557.45,562.55,12:02:06.000
株W,592.26,678.19,581.31,599.02,12:02:06.500
株I,334.79,421.80,300.24,317.50,12:02:07.000
株P,823.34,873.81,787.97,791.89,12:02:07.500
株Z,336.26,429.09,323.47,330.30,12:02:08.000
株F,957.81,1051.54,942.71,947.01,12:02:08.500
株M,494.19,576.97,456.07,460.70,12:02:09.000
株B,947.18,1007.32,941.33,948.28,12:02:09.500
株C,345.50,408.14,327.94,346.31,12:02:10.000
株D,948.22,1036.54,918.28,934.91,12:02:10.500
株H,993.34,1053.69,970.43,989.94,12:02:11.000
株G,418.95,477.56,402.71,404.59,12:02:11.500
株I,658.69,750.56,628.58,646.43,12:02:12.000
株O,834.69,920.87,827.05,838.08,12:02:12.500
株Z,353.51,431.10,338.47,358.09,12:02:13.000
株E,492.93,566.16,463.68,483.30,12:02:13.500
株B,452.71,540.60,418.71,435.72,12:02:14.000
株Y,534.46,603.27,527.44,533.83,12:02:14.500
株N,402.25,472.36,364.57,371.49,12:02:15.000
株J,919.45,981.23,888.87,901.06,12:02:15.500
株J,692.87,775.57,667.30,669.65,12:02:16.000
株E,758.86,826.84,740.35,753.87,12:02:16.500
株E,698.13,771.20,682.48,684.55,12:02:17.000
株J,542.58,614.75,515.64,532.73,12:02:17.500
株L,675.67,765.29,640.09,658.67,12:02:18.000
株M,978.76,1031.19,949.07,952.61,12:02:18.500
株T,867.25,937.60,824.85,836.75,12:02:19.000
株C,676.72,745.76,634.84,645.94,12:02:19.500
株O,860.93,950.54,853.96,870.65,12:02:20.000
株K,333.08,425.28,306.32,316.54,12:02:20.500
株K,866.49,932.89,835.51,839.99,12:02:21.000
株R,978.55,1036.24,940.82,955.61,12:02:21.500
株N,478.11,558.27,465.74,479.68,12:02:22.000
株O,639.85,701.09,612.89,632.14,12:02:22.500
株Y,446.38,515.56,426.53,445.10,12:02:23.000
株F,845.45,920.49,810.68,821.41,12:02:23.500
株Q,947.54,1022.25,913.06,929.11,12:02:24.000
株N,993.42,1067.44,967.59,975.42,12:02:24.500
株U,661.77,719.47,636.73,656.37,12:02:25.000
株I,316.92,381.84,315.01,328.40,12:02:25.500
株W,407.39,487.70,371.20,386.13,12:02:26.000
株I,902.98,991.55,867.13,882.40,12:02:26.500
株Z,735.57,834.96,698.54,709.16,12:02:27.000
株B,302.07,378.80,278.81,287.41,12:02:27.500
株J,539.73,606.63,508.60,524.34,12:02:28.000
株Z,327.42,402.12,323.01,332.32,12:02:28.500
株P,390.54,468.36,364.57,373.27,12:02:29.000
株V,938.32,1028.54,892.35,898.51,12:02:29.500
株T,794.94,868.59,784.96,796.17,12:02:30.000
株P,367.71,426.55,359.74,366.28,12:02:30.500
株D,974.99,1063.60,962.24,972.90,12:02:31.000
株H,471.49,538.19,423.82,440.85,12:02:31.500
株E,439.11,523.86,423.00,435.34,12:02:32.000
株L,843.50,925.07,820.31,822.50,12:02:32.500
株H,424.95,490.13,404.09,415.32,12:02:33.000
株J,615.20,694.28,593.61,607.82,12:02:33.500
株J,354.99,424.50,340.86,346.49,12:02:34.000
株S,405.53,477.35,377.73,394.19,12:02:34.500
株Q,662.09,749.04,649.83,669.54,12:02:35.000
株D,364.53,461.22,354.02,370.11,12:02:35.500
株X,889.64,961.39,863.30,872.26,12:02:36.000
株Q,344.28,402.34,310.84,330.35,12:02:36.500
株V,661.19,725.11,642.33,643.34,12:02:37.000
株B,529.94,599.40,492.77,506.95,12:02:37.500
株E,630.15,724.43,615.28,630.70,12:02:38.000
株R,470.45,566.67,439.95,447.96,12:02:38.500
株M,852.04,948.63,846.19,859.90,12:02:39.000
株G,886.36,948.94,851.49,856.67,12:02:39.500
株Y,539.37,591.35,525.21,544.33,12:02:40.000
株H,860.24,951.30,846.87,849.37,12:02:40.500
株L,321.77,420.62,283.01,295.15,12:02:41.000
株M,572.09,633.84,525.62,529.50,12:02:41.500
株V,874.64,949.62,868.65,882.30,12:02:42.000
株Q,822.81,903.93,773.91,787.26,12:02:42.500
株M,755.73,846.94,723.57,738.91,12:02:43.000
株I,481.20,552.92,446.88,451.14,12:02:43.500
株T,539.27,613.49,504.97,507.01,12:02:44.000
株R,825.92,906.55,782.30,788.36,12:02:44.500
株A,307.71,357.90,263.58,266.99,12:02:45.000
株Y,593.25,684.46,565.13,581.70,12:02:45.500
株L,967.92,1035.26,918.52,931.81,12:02:46.000
株S,675.88,773.51,633.62,643.39,12:02:46.500
株W,308.74,374.46,302.72,322.25,12:02:47.000
株E,529.70,594.07,525.56,542.69,12:02:47.500
株D,576.40,669.15,563.04,569.76,12:02:48.000
株D,828.29,927.20,784.60,791.34,12:02:48.500
株L,450.09,549.90,435.36,438.87,12:02:49.000
株U,885.96,944.42,869.97,880.53,12:02:49.500
株Z,412.70,478.10,371.46,380.35,12:02:50.000
株Y,895.49,951.07,885.21,902.55,12:02:50.500
株D,482.94,548.49,469.84,476.73,12:02:51.000
株F,914.05,987.49,876.50,883.62,12:02:51.500
株R,941.99,1026.04,938.68,942.01,12:02:52.000
株G,626.55,717.15,580.14,583.24,12:02:52.500
株U,338.28,391.67,324.58,335.50,12:02:53.000
株O,736.70,818.18,694.73,695.94,12:02:53.500
株W,691.87,750.68,654.99,674.76,12:02:54.000
株Y,576.25,637.48,571.96,573.74,12:02:54.500
株E,744.41,807.37,716.59,724.48,12:02:55.000
株L,810.70,881.94,802.61,806.15,12:02:55.500
株B,347.75,416.86,315.70,333.82,12:02:56.000
株K,733.70,830.94,702.92,720.02,12:02:56.500
株V,313.80,371.53,293.19,305.64,12:02:57.000
株V,384.80,450.30,373.47,381.00,12:02:57.500
株U,838.94,917.88,797.09,803.87,12:02:58.000
株N,782.22,875.38,755.35,763.96,12:02:58.500
株R,628.36,700.79,603.18,618.57,12:02:59.000
株D,363.14,430.15,356.33,358.43,12:02:59.500
株U,426.09,478.80,383.37,389.04,12:03:00.000
株U,763.55,825.26,732.16,734.24,12:03:00.500
株K,715.52,796.16,675.08,685.61,12:03:01.000
株B,896.70,994.53,879.29,896.47,12:03:01.500
株R,415.85,511.13,385.34,402.00,12:03:02.000
株S,576.80,649.36,530.88,547.83,12:03:02.500
株R,302.60,383.25,270.53,288.62,12:03:03.000
株J,325.64,412.63,314.90,333.53,12:03:03.500
株Y,881.21,933.65,869.20,876.73,12:03:04.000
株K,681.91,738.61,656.30,672.87,12:03:04.500
株Y,642.27,693.62,624.36,634.18,12:03:05.000
株L,539.98,601.37,519.86,527.08,12:03:05.500
株Y,590.82,679.63,567.51,582.50,12:03:06.000
株B,774.98,868.38,729.06,735.62,12:03:06.500
株J,326.57,384.08,303.99,306.83,12:03:07.000
株A,855.18,941.89,852.78,864.60,12:03:07.500
株W,499.23,571.14,482.00,499.36,12:03:08.000
株K,557.53,641.11,540.92,546.93,12:03:08.500
株N,964.59,1037.39,951.26,966.53,12:03:09.000
株L,313.56,387.32,271.54,277.87,12:03:09.500
株R,366.99,456.89,354.47,371.25,12:03:10.000
株O,631.55,686.78,600.17,613.64,12:03:10.500
株H,482.99,545.64,444.12,451.41,12:03:11.000
株G,361.15,427.59,352.65,364.24,12:03:11.500
株A,875.48,950.88,848.43,856.59,12:03:12.000
株E,687.22,740.85,680.72,700.59,12:03:12.500
株W,466.20,530.09,457.89,466.51,12:03:13.000
株S,758.78,857.64,718.63,737.83,12:03:13.500
株W,930.02,1004.61,898.20,916.61,12:03:14.000
株W,931.01,989.68,892.32,908.02,12:03:14.500
株G,663.02,732.52,619.50,638.21,12:03:15.000
株S,502.12,584.06,459.70,474.20,12:03:15.500
株R,577.15,670.03,563.89,578.80,12:03:16.000
株K,470.35,564.38,437.56,438.67,12:03:16.500
株J,430.39,498.87,411.17,426.59,12:03:17.000
株J,642.02,736.38,606.42,607.80,12:03:17.500
株K,559.75,624.03,557.37,575.53,12:03:18.000
株R,969.10,1048.35,957.47,975.36,12:03:18.500
株P,724.70,816.88,708.35,709.86,12:03:19.000
株Q,445.54,512.12,420.85,440.67,12:03:19.500
株M,428.11,506.00,406.96,426.71,12:03:20.000
株Q,730.28,795.35,715.67,724.85,12:03:20.500
株R,904.14,984.35,902.71,913.54,12:03:21.000
株Z,361.41,412.93,315.80,319.76,12:03:21.500
株T,387.32,457.88,339.43,345.84,12:03:22.000
株K,311.86,392.25,281.70,283.01,12:03:22.500
株C,617.30,690.64,595.39,613.18,12:03:23.000
株C,579.37,635.09,574.28,588.76,12:03:23.500
株P,881.50,935.01,844.86,862.81,12:03:24.000
株I,924.97,1008.31,895.92,915.55,12:03:24.500
株C,975.79,1052.68,942.41,961.68,12:03:25.000
株E,490.01,543.05,459.46,466.76,12:03:25.500
株N,474.46,543.75,425.02,441.74,12:03:26.000
株B,786.10,846.21,777.48,778.81,12:03:26.500
株R,771.43,842.02,730.81,736.33,12:03:27.000
株L,685.07,766.06,635.56,651.43,12:03:27.500
株J,733.24,798.35,718.96,737.21,12:03:28.000
株M,955.08,1022.93,916.72,924.17,12:03:28.500
株O,689.08,774.75,672.26,678.22,12:03:29.000
株E,923.51,994.90,885.09,901.19,12:03:29.500
株V,947.09,1022.00,945.48,959.75,12:03:30.000
株G,994.57,1094.29,957.61,972.68,12:03:30.500
株L,696.64,763.92,666.01,671.26,12:03:31.000
株N,348.24,428.42,328.66,330.86,12:03:31.500
株G,526.81,589.40,518.17,534.87,12:03:32.000
株P,566.22,628.96,522.51,539.50,12:03:32.500
株V,387.55,448.32,379.22,397.94,12:03:33.000
株V,353.85,405.97,350.17,359.61,12:03:33.500
株T,529.25,598.46,488.74,492.45,12:03:34.000
株T,861.27,955.26,819.19,829.77,12:03:34.500
株J,704.11,782.58,694.26,710.58,12:03:35.000
株H,497.43,595.70,487.36,501.11,12:03:35.500
株E,506.46,564.95,495.18,514.95,12:03:36.000
株V,651.97,742.19,607.20,621.21,12:03:36.500
株E,839.30,938.11,833.18,834.67,12:03:37.000
株Y,739.92,816.33,712.97,726.39,12:03:37.500
株N,697.52,763.52,690.00,692.26,12:03:38.000
株N,495.31,589.78,449.60,456.94,12:03:38.500
株O,382.76,459.46,357.70,368.28,12:03:39.000
株R,822.22,908.50,807.38,820.15,12:03:39.500
株Z,391.38,444.54,379.36,398.12,12:03:40.000
株C,396.35,448.51,381.22,393.57,12:03:40.500
株P,631.99,724.48,599.16,604.10,12:03:41.000
株S,693.27,765.92,654.23,659.06,12:03:41.500
株S,808.89,876.20,759.77,771.34,12:03:42.000
株K,817.48,904.77,771.12,788.05,12:03:42.500
株L,601.52,674.84,581.12,595.66,12:03:43.000
株O,329.52,417.34,315.48,334.64,12:03:43.500
株V,569.31,651.86,532.12,534.50,12:03:44.000
株U,448.03,525.49,418.60,426.46,12:03:44.500
株E,352.85,435.46,317.88,331.23,12:03:45.000
株E,640.54,739.94,608.65,618.61,12:03:45.500
株T,347.73,432.29,339.27,348.77,12:03:46.000
株P,520.71,577.00,491.97,498.95,12:03:46.500
株X,890.18,949.96,860.69,865.39,12:03:47.000
株D,351.73,438.83,303.41,306.31,12:03:47.500
株D,942.18,1021.51,925.69,937.74,12:03:48.000
株V,794.46,848.88,752.68,768.99,12:03:48.500
株N,676.85,736.61,628.09,639.81,12:03:49.000
株E,564.64,615.57,519.06,534.43,12:03:49.500
株S,389.23,451.80,383.79,394.80,12:03:50.000
株J,834.84,885.68,810.76,825.01,12:03:50.500
株E,564.45,654.91,538.04,541.32,12:03:51.000
株P,521.55,600.33,476.72,478.46,12:03:51.500
株Y,900.74,994.17,851.57,859.44,12:03:52.000
株U,401.51,496.28,383.51,402.46,12:03:52.500
株M,679.92,771.52,632.83,638.70,12:03:53.000
株D,664.29,756.49,629.03,630.83,12:03:53.500
株G,787.99,841.17,748.73,765.71,12:03:54.000
株N,637.10,722.17,630.45,636.12,12:03:54.500
株E,408.91,482.13,402.65,415.05,12:03:55.000
株M,776.94,833.93,766.49,778.18,12:03:55.500
株G,758.52,852.06,718.59,725.01,12:03:56.000
株X,303.73,399.68,302.65,317.08,12:03:56.500
株T,471.43,530.49,424.09,441.22,12:03:57.000
株B,905.79,967.75,875.94,884.03,12:03:57.500
株J,770.97,861.17,744.64,762.51,12:03:58.000
株G,992.45,1084.22,981.65,991.09,12:03:58.500
株U,614.00,689.97,600.64,616.84,12:03:59.000
株H,754.67,815.14,741.16,756.51,12:03:59.500
株Z,538.03,605.26,512.30,520.46,12:04:00.000
株O,871.61,925.44,858.56,865.55,12:04:00.500
株M,502.36,576.80,486.93,490.67,12:04:01.000
株B,871.86,963.54,826.01,837.52,12:04:01.500
株I,544.18,610.80,514.37,518.39,12:04:02.000
株R,922.91,1012.75,890.70,899.97,12:04:02.500
株G,679.64,737.75,647.77,659.80,12:04:03.000
株C,373.16,424.21,364.90,376.71,12:04:03.500
株Z,974.59,1028.21,926.45,943.37,12:04:04.000
株F,345.43,421.70,298.95,313.70,12:04:04.500
株C,851.70,929.67,839.56,853.45,12:04:05.000
株H,640.71,713.44,615.78,629.25,12:04:05.500
株I,311.41,372.39,298.69,311.19,12:04:06.000
株F,691.43,790.24,666.02,675.35,12:04:06.500
株W,849.41,943.12,832.10,834.71,12:04:07.000
株R,894.17,989.33,887.34,895.41,12:04:07.500
株W,384.56,463.35,376.62,377.67,12:04:08.000
株E,610.25,671.69,570.38,584.48,12:04:08.500
株X,324.80,389.11,301.12,315.31,12:04:09.000
株D,853.17,919.68,827.87,840.24,12:04:09.500
株Y,752.71,852.22,712.60,715.90,12:04:10.000
株T,744.40,842.14,712.71,714.40,12:04:10.500
株G,524.47,593.37,479.98,496.92,12:04:11.000
株X,388.70,450.61,339.88,341.87,12:04:11.500
株U,735.56,807.17,700.50,709.51,12:04:12.000
株F,593.77,674.96,558.74,578.14,12:04:12.500
株Q,412.11,491.87,396.58,408.93,12:04:13.000
株L,547.52,637.75,533.23,548.83,12:04:13.500
株P,317.75,394.72,292.38,294.35,12:04:14.000
株S,787.27,865.82,740.68,758.40,12:04:14.500
株N,326.22,386.35,306.10,321.29,12:04:15.000
株L,715.46,811.79,671.37,679.72,12:04:15.500
株P,756.85,820.96,730.89,736.58,12:04:16.000
株D,697.21,748.80,681.60,698.57,12:04:16.500
